Up or Down,open,high,low,close,Consensus Estimate Revenue,Actual Revenue,Retained Earnings,Consensus Estimat Earnings Per share,Earnings Per Share,return on Assets,Gross Profit,Net Income,Gross Margin,Profit Margin,Working Capital,Current Ratio (CA/CL),Debt-To-Assets Ratio
0,74.91999817,75.75,73.98000336,74.19999695,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,73.88999939,76.31999969,73.55000305,76.12000275,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,76.41999817,76.83000183,74.86000061,76.45999908,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,79.01000214,84.75,78.86000061,82.29000092,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,82.16999817,82.69999695,80.02999878,80.72000122,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,80.37000275,81.15000153,77.5,78.30000305,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,78.68000031,79.69000244,78,79.26000214,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,78.55000305,78.87000275,77.43000031,78.34999847,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,78.26000214,80.90000153,77.97000122,80.62000275,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,80.73000336,80.79000092,78.98999786,80.08000183,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,80.61000061,81.95999908,80.16999817,80.34999847,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,80.58000183,81.76999664,80.30000305,81.62000275,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,81.15000153,81.56999969,80.05000305,80.23000336,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,80.70999908,81.88999939,79.26000214,80.11000061,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,80.11000061,81.81999969,79.72000122,81.5,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,82.11000061,84.87999725,81.80000305,84.51000214,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,83.23999786,83.63999939,80.55999756,80.62999725,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
