Open,High,Low,Close,Volume,Accumulation Distribution Line,MACD,Chaikan Oscillator (CHO),Highest closing price (5 days),Lowest closing price (days),Stochastic %K (5 days),%D,Volume Price Trend (VPT),Williams %R (14 days),Relative Strength Index,Momentum (10 days),Price rate of change (PROC),Volume rate of change (VROC),On Balance Volume (OBV)
0.024753656,0.023994056,0.025182571,0.024874104,0.019194667,9.22351E-05,-0.002383299,6.04682E-05,0.025273739,0.027369003,0.379182387,0.261294616,-0.011006736,-0.718285597,0.432608849,-0.004238691,-0.063424319,0.005792843,0.000346543
0.025165133,0.024179816,0.025127077,0.024863203,0.01513978,-0.000159566,-0.002938724,-0.000135823,0.025026058,0.027357008,0.41224473,0.39211344,-0.011017089,-0.721069929,0.431835826,-0.00589013,-0.068292701,0.039581542,-0.001080782
0.025110992,0.023932137,0.024982797,0.025026705,0.011288375,-5.95755E-05,-0.003214815,-0.000114739,0.024768058,0.027357008,0.527272488,0.448881615,-0.010894556,-0.679309138,0.449867112,-0.005449747,-0.077913537,0.007544021,-1.65536E-05
0.024959393,0.023787654,0.025016093,0.024776003,0.006755958,-1.25408E-05,-0.003587046,-5.38004E-05,0.024179816,0.027261062,0.570552411,0.514023429,-0.011033729,-0.743342072,0.429950726,-0.005312122,-0.1206269,-0.074869885,-0.000653482
0.024612886,0.023591576,0.024416772,0.024187397,0.009565334,-6.35999E-05,-0.004289893,-6.94461E-05,0.024179816,0.026613418,0.132867832,0.418924324,-0.011231266,-0.893680639,0.386667856,-0.006963553,-0.14948506,-0.072229111,-0.001555268
0.023941528,0.022982694,0.024161505,0.024209195,0.006938108,-2.52803E-05,-0.004774927,-3.54112E-05,0.024179816,0.026613418,0.265059639,0.329667812,-0.011220656,-0.880773558,0.389418811,-0.004954313,-0.134689814,-0.070671155,-0.000901168
0.023974011,0.023096213,0.024394574,0.024339997,0.007584659,2.90732E-05,-0.005000059,3.0131E-05,0.023932137,0.026613418,0.394365919,0.269694429,-0.01117452,-0.847640744,0.40667902,-0.004789167,-0.131072274,-0.050647498,-0.000186112
0.024288035,0.023736055,0.024860713,0.024797803,0.009320827,8.03455E-06,-0.004767836,3.54705E-05,0.023787654,0.026613418,0.765625598,0.485083382,-0.010998944,-0.697223827,0.464598045,-0.001376197,-0.071144273,-0.044701859,0.000692623
0.024580402,0.024293338,0.02502719,0.02534281,0.017363322,4.7731E-05,-0.004112956,6.97783E-05,0.024293338,0.026613418,0.83615772,0.679483553,-0.010746821,-0.541593509,0.525629168,0.000825716,-0.046184827,0.013847527,0.002329576
0.025230102,0.024768058,0.025759693,0.026073119,0.012396043,0.000108201,-0.002992074,0.000131316,0.024768058,0.026637402,0.964125561,0.873428123,-0.010131001,-0.21003227,0.594890198,0.003027634,0.039067301,-0.035655012,0.003498232
0.026107202,0.025273739,0.025537723,0.025844215,0.020074238,8.15776E-05,-0.002255606,0.000120846,0.025273739,0.026781325,0.689242629,0.847427577,-0.010264942,-0.287412948,0.570590953,0.002477155,0.04489431,-0.007332037,0.001605703
0.028749322,0.029628788,0.029411111,0.03024787,0.189006019,0.001167062,0.001729424,0.001072157,0.029628788,0.027285049,0.847860673,0.851411229,-0.006055174,-0.138640925,0.801611665,0.013183974,0.292882109,0.895748974,0.019424534
0.029723878,0.029081828,0.029488801,0.029059755,0.0470111,0.00084407,0.003919333,0.00107625,0.029628788,0.02788472,0.667207955,0.750341316,-0.015192271,-0.296056305,0.707400117,0.010816911,0.228821664,0.21314772,0.014992491
0.029052518,0.027864065,0.028001598,0.028155044,0.042818369,-0.000316627,0.004895527,-5.34715E-05,0.029628788,0.028436416,0.494736929,0.684132126,-0.016993576,-0.415923063,0.645215733,0.010018714,0.169461773,0.282808637,0.010955724
0.028045479,0.027864065,0.028512131,0.029103357,0.052198271,0.000282488,0.006332933,2.27186E-05,0.029628788,0.028436416,0.64736871,0.615885228,-0.015218592,-0.29027945,0.683977539,0.012358258,0.236784213,0.681041612,0.015876795
0.029225772,0.027874385,0.028634213,0.028874453,0.021140882,0.000342567,0.007211121,0.00010532,0.029628788,0.030979024,0.36206907,0.512016815,-0.015723876,-0.320607328,0.668295277,0.011449962,0.262707575,0.122529763,0.013883706
0.029074174,0.028834148,0.02935562,0.029691963,0.04611676,0.000150066,0.008444889,-4.18773E-05,0.029081828,0.030979024,0.681355932,0.575541396,-0.014987208,-0.212293993,0.701221728,0.012358252,0.3070302,0.571753187,0.018231434
0.029864645,0.028483266,0.029255733,0.028874453,0.031940242,-7.16175E-05,0.008687371,-0.000295688,0.028834148,0.030979024,0.464944478,0.513444704,-0.016549931,-0.320607328,0.644936954,0.008917759,0.252560932,0.325134218,0.015220219
0.028662695,0.027379025,0.027768528,0.027544637,0.022471726,-0.000278186,0.007756956,-0.00055658,0.028834148,0.030307392,0.085616409,0.419341,-0.018360375,-0.49679702,0.565431197,0.003715733,0.150169143,0.142856891,0.013101663
0.027157553,0.02601678,0.026969433,0.026868828,0.022274807,-0.000141005,0.006420531,-0.000490556,0.028834148,0.0295638,0.096154068,0.220139941,-0.019038941,-0.604631822,0.529693813,0.002587254,0.081633166,0.028640474,0.011001671
0.027211694,0.026512143,0.027535458,0.027174032,0.019880602,-0.000153226,0.005534723,-0.000429832,0.028834148,0.0295638,0.173077103,0.120789112,-0.018727537,-0.600402467,0.545944434,-0.007761753,0.057242918,0.061134066,0.012875945
0.026930158,0.026089022,0.02685845,0.027402934,0.016137502,-1.26356E-05,0.004953454,-0.000240725,0.028483266,0.0295638,0.276470081,0.185755162,-0.01852143,-0.580854794,0.558378925,-0.004183643,0.081764741,-0.019856261,0.014397333
0.02777477,0.027017823,0.028201371,0.027882541,0.015482747,2.69864E-05,0.004809966,-0.000106197,0.027379025,0.0295638,0.592274249,0.354633068,-0.018173819,-0.550363334,0.584395711,-0.000688099,-0.106012801,-0.09295704,0.015856993
0.027211694,0.026439903,0.027036026,0.027283034,0.016966202,-4.44942E-05,0.004182269,-0.000105159,0.027017823,0.0295638,0.419192131,0.438409928,-0.01858353,-0.647072401,0.547267238,-0.004596499,-0.082887446,-0.064709867,0.014257478
0.027352463,0.026068381,0.027357883,0.027424735,0.009004116,4.84133E-05,0.003751659,-1.24445E-05,0.027017823,0.029899616,0.484848225,0.509341258,-0.01847508,-0.788918164,0.555659587,-0.003660685,-0.035165108,-0.079959464,0.015106355
0.027828913,0.026924943,0.028079286,0.028067843,0.013738374,2.50666E-05,0.003865485,5.82637E-06,0.027017823,0.030019551,0.782828173,0.574205275,-0.018215212,-0.61193231,0.593112116,-0.004101068,-0.04823634,-0.074602296,0.016401561
0.027991337,0.027843425,0.028401145,0.029146956,0.022745771,0.000166587,0.004739449,0.00013879,0.027843425,0.030019551,0.908396912,0.740729198,-0.017565139,-0.321580777,0.648661484,0.000688099,0.012794391,0.007686383,0.018545953
0.02891175,0.027585424,0.028822888,0.02876545,0.013142694,0.000161928,0.005077144,0.000176418,0.027843425,0.030019551,0.774808693,0.839430921,-0.017931558,-0.415375359,0.62136806,0.003082679,-0.042303266,-0.072395889,0.017306906
0.028868435,0.028122066,0.029200238,0.029354059,0.022973869,4.48917E-05,0.005735954,7.15567E-05,0.028122066,0.030175465,0.876923077,0.87146056,-0.017600572,-0.270663863,0.650984039,0.00627546,0.022518128,-0.028423581,0.019472802
0.029160801,0.028235587,0.029555391,0.029517561,0.016359036,5.5602E-05,0.00631233,3.16911E-05,0.028235587,0.030883077,0.864077316,0.856374295,-0.017443081,-0.230466299,0.659105838,0.005917649,0.097103503,-0.027542043,0.021015075
0.029312398,0.028576148,0.029655278,0.030149768,0.02625585,0.000184767,0.007177552,0.000127518,0.028576148,0.031650655,0.985713816,0.928165803,-0.017011853,-0.008615696,0.689824947,0.006936038,0.16554312,0.018096023,0.023490386
0.029983759,0.028761908,0.030432176,0.030084368,0.011913592,0.000139673,0.007723405,0.000114973,0.028761908,0.031650655,0.85789436,0.921688481,-0.01708195,-0.073735967,0.684189556,0.005559837,0.145194627,-0.040575699,0.022367214
0.029886302,0.028689666,0.030032628,0.029920867,0.012875213,-4.49562E-05,0.00793747,-6.50166E-05,0.028761908,0.032298301,0.730769576,0.876310904,-0.017161637,-0.114699969,0.669465243,0.006660795,0.124568623,-0.020468517,0.021153383
0.029648077,0.028266545,0.029411111,0.029288659,0.014997013,-3.17006E-05,0.00752915,-0.000120934,0.028761908,0.032226342,0.270073525,0.632708973,-0.017496455,-0.273095164,0.614405056,0.004706598,0.068367716,-0.003176508,0.019739517
0.028998377,0.027864065,0.028578721,0.029092457,0.017140147,6.40264E-05,0.006972741,-4.75746E-05,0.028761908,0.03201046,0.443396489,0.491615071,-0.017620101,-0.322252293,0.597968266,0.002587254,0.089910163,0.001038072,0.018123603
0.029453168,0.028318147,0.02904486,0.028819953,0.019995471,1.12196E-05,0.006248044,-6.02613E-05,0.028761908,0.031710625,0.325472016,0.353652928,-0.017817696,-0.408327843,0.574961624,-0.000825716,0.06897016,0.123597696,0.0162385
